Problem,Hunter(hkroger),Snehal,Emma(eschare)
1324,6,6,6
1325,2,1,9
1326,9,9,2
1327,1,1,1
1328,6,2,10
1329,5,5,5
1330,5,5,1
1331,1,6,6
1332,6,6,6
1333,2,2,6
1334,6,6,6
1335,7,10,6
1336,7,7,7
1337,6,6,6
1338,10,6,10
1339,6,6,6
1340,6,10,6
1341,5,10,1
1342,10,6,10
1343,10,10,10
1344,4,4,4
1345,9,9,9
1346,9,10,10
1347,6,1,1
1348,3,3,3
1349,5,5,5
1350,7,7,7
1351,6,1,6
1352,3,3,3
1353,10,10,10
1354,3,3,3
1355,7,10,7
1356,7,7,7
1357,9,9,9
1358,4,4,4
1359,9,9,8
1360,2,2,2
1361,8,8,8
1362,6,6,9
1363,10,10,10
1364,9,9,9
1365,6,6,6
1366,6,6,6
1367,2,2,10
1368,2,2,10
1369,10,10,10
1370,10,10,10
1371,10,10,10
1372,9,10,9
1373,6,6,6
1374,9,9,9
1375,6,8,8
1376,6,6,6
1377,9,9,9
1378,6,2,6
1379,6,6,6
1380,6,6,6
1381,2,2,2
1382,6,6,6
1383,6,10,6
1384,10,10,10
1385,6,6,6
1386,2,2,2
1387,2,2,2
1388,3,10,3
1389,6,6,6
1390,6,6,6
1391,6,1,6
1392,3,3,3
1393,6,6,6
1394,2,2,9
1395,6,6,6
1396,6,6,6
1397,2,2,2
1398,2,2,6
1399,3,3,3
1400,5,5,5
1401,10,10,10
1402,6,6,6
1403,3,3,3
1404,6,6,6
1405,1,1,9
1406,3,10,3
1407,5,5,5
1408,9,10,10
1409,1,1,1
1410,10,10,10
1411,3,3,3
1412,6,6,6
1413,2,2,2
1414,10,10,9
1415,7,7,7
1416,5,5,9
1417,5,5,5
1418,6,6,6
1419,6,6,6
1420,7,7,7
1421,6,6,6
1422,6,6,6
1423,7,5,5
1424,8,6,6
1425,6,6,6
1426,9,10,10
1427,9,9,9
1428,9,9,9
1429,2,2,8
1430,6,6,6
1431,10,10,10
1432,3,3,3
1433,3,3,3
1434,7,7,9
1435,7,7,9
1436,2,2,8
1437,3,3,3
1438,10,6,10
1439,10,1,10
1440,9,9,5
1441,6,6,6
1442,5,5,5
1443,1,1,9
1444,1,10,1
1445,9,9,9
1446,6,10,6
1447,10,10,10
1448,1,6,1
1449,6,10,6
1450,7,7,7
1451,4,4,4
1452,2,2,10
1453,6,10,2
1454,3,6,3
1455,6,2,1
1456,9,9,10
1457,6,2,6
1458,9,5,5
1459,10,10,10
1460,6,6,6
1461,6,6,6
1462,6,6,6
1463,9,10,9
1464,6,10,6
1465,6,10,6
1466,6,6,6
1467,6,6,6
1468,2,2,2
1469,8,8,8
1470,6,6,6
1471,9,10,9
1472,2,1,7
1473,6,10,6
1474,6,10,6
1475,2,2,9
1476,3,9,3
1477,3,9,3
1478,10,6,10
1479,6,6,6
1480,6,6,6
1481,7,7,6
1482,2,5,2
1483,6,6,6
1484,3,3,3
1485,6,6,6
1486,6,6,6
1487,9,9,9
1488,10,10,10
1489,9,9,10
1490,7,7,6
1491,9,9,10
1492,3,3,3
1493,9,1,9
1494,2,7,10
1495,9,9,9
1496,6,2,6
1497,3,3,3
1498,6,6,6
1499,6,6,6
1500,7,10,7
1501,9,9,6
1502,3,9,3
1503,9,1,6
1504,5,5,7
1505,6,6,7
1506,6,6,6
1507,6,6,6
1508,6,6,6
1509,3,10,3
1510,9,2,6
1511,2,2,2
1512,6,6,6
1513,1,1,1
1514,6,6,6
1515,6,6,6
1516,9,9,9
1517,2,2,2
1518,9,9,9
1519,6,6,6
1520,6,6,6
1521,6,7,6
1522,2,2,8
1523,6,6,6
1524,10,1,1
1525,3,3,3
1526,2,2,2
1527,1,1,1
1528,3,3,3
1529,6,6,6
1530,1,10,10
1531,7,7,7
1532,9,9,5
1533,10,10,6
1534,6,6,6
1535,10,10,10
1536,3,3,3
1537,5,5,8
1538,6,6,6
1539,6,10,6
1540,10,10,10
1541,9,9,9
1542,2,2,2
1543,10,10,10
1544,9,8,9
1545,2,8,8
1546,6,2,6
1547,9,10,10
1548,9,10,10
1549,9,9,9
1550,6,1,6
1551,3,3,3
1552,6,6,6
1553,6,6,6
1554,5,5,5
1555,10,10,10
1556,6,6,6
1557,3,3,3
1558,3,3,3
1559,9,9,9
1560,7,9,7
1561,6,6,6
1562,2,2,2
1563,6,6,6
1564,5,5,5
1565,9,9,9
1566,10,10,10
1567,10,10,10
1568,5,5,5
1569,9,9,9
1570,11,11,10
1571,2,2,2
1572,6,10,6
1573,4,10,4
1574,2,8,9
1575,6,6,6
1576,2,2,2
1577,4,4,2
1578,6,2,6
1579,9,9,9
1580,6,6,6
1581,9,10,1
1582,6,9,6
1583,7,1,1
1584,7,1,1
1585,9,9,9
1586,3,3,3
1587,9,9,9
1588,6,9,6
1589,9,9,9
1590,4,4,4
1591,10,6,10
1592,3,1,3
1593,6,6,6
1594,6,6,6
1595,6,6,6
1596,6,6,6
1597,7,7,6
1598,2,2,2
1599,6,6,6
1600,5,5,5
1601,7,7,7
1602,4,1,6
1603,6,6,10
1604,3,3,3
1605,9,10,7
1606,6,6,6
1607,4,10,10
1608,6,6,6
1609,7,7,7
1610,2,2,2
1611,5,5,5
1612,5,5,5
1613,3,3,3
1614,6,6,6
1615,10,10,1
1616,6,2,6
1617,6,6,6
1618,3,3,3
1619,2,1,6
1620,1,1,6
1621,4,10,10
1622,2,2,2
1623,1,2,1
1624,9,5,9
1625,4,4,4
1626,4,4,4
1627,3,3,3
1628,5,1,6
1629,9,10,7
1630,6,6,6
1631,10,10,10
1632,3,3,3
1633,3,3,3
1634,9,9,9
1635,4,4,10
1636,3,3,3
1637,3,3,3
1638,10,10,10
1639,2,10,6
1640,6,6,6
1641,1,1,1
1642,11,10,10
1643,10,10,6
1644,6,6,6
1645,6,6,6
1646,1,1,6
1647,10,10,10
